RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
149,Steven Adams,OKC,,,C,63,26.7,10.9,4.5,7.6,59.2,0,0,33.3,1.9,3.2,58.2,9.3,2.3,0.8,1.1,1.5,22,0,20.48,41,Steven Adams,C,Oklahoma City Thunder,"$25,842,697 "
150,Rudy Gay,SA,,,SF,67,21.8,10.8,4,8.9,44.6,1.1,3.3,33.6,1.8,2,88.2,5.4,1.7,0.5,0.5,1.3,4,0,15.44,86,Rudy Gay,SF,San Antonio Spurs,"$14,500,000 "
151,Dario Saric,PHX,,,PF,66,24.7,10.7,3.9,8.2,47.6,1.3,3.6,35.7,1.6,1.9,84.4,6.2,1.9,0.6,0.2,1.3,9,0,14.2,256,Dario Saric,PF,Phoenix Suns,"$3,481,986 "
152,OG Anunoby,TOR,,,SF,69,29.9,10.6,4.1,8.2,50.5,1.3,3.3,39,1,1.5,70.6,5.3,1.6,1.4,0.7,1.1,5,0,13.23,310,OG Anunoby,SF,Toronto Raptors,"$2,281,800 "
153,Jae Crowder,MIA,MEM,,PF,65,28.8,10.5,3.5,8.7,40.1,2.1,6.1,34.3,1.5,1.9,77.6,5.9,2.5,1.1,0.4,1.1,6,0,12.57,160,Jae Crowder,PF,Miami Heat,"$7,815,533 "
154,Cam Reddish,ATL,,,SF,58,26.7,10.5,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,3.7,1.5,1.1,0.5,1.7,0,0,9.03,227,Cam Reddish,SF,Atlanta Hawks,"$4,245,720 "
155,D.J. Augustin,ORL,,,G,57,24.9,10.5,3.2,8.1,39.9,1.2,3.5,34.8,2.8,3.2,88.9,2.1,4.6,0.6,0,1.5,0,0,14.06,169,D.J. Augustin,G,Orlando Magic,"$7,250,000 "
156,Danuel House Jr.,HOU,,,SF,63,30.4,10.5,3.7,8.6,42.7,2,5.6,36.3,1.2,1.4,81.1,4.2,1.3,1.1,0.5,0.9,2,0,11.28,250,Danuel House Jr.,SF,Houston Rockets,"$3,540,000 "
157,Troy Brown Jr.,WSH,,,SF,69,25.8,10.4,4,9,43.9,0.9,2.6,34.1,1.6,2,78.4,5.6,2.6,1.2,0.1,1.1,6,0,13.7,265,Troy Brown Jr.,SF,Washington Wizards,"$3,219,480 "
158,Gary Harris,DEN,,,SG,56,31.8,10.4,3.9,9.3,42,1.3,3.8,33.3,1.3,1.6,81.5,2.9,2.1,1.4,0.3,1.1,0,0,9.78,65,Gary Harris,SG,Denver Nuggets,"$17,839,286 "
159,Garrett Temple,BKN,,,SF,62,27.9,10.3,3.6,9.5,37.8,2,6.2,32.9,1.1,1.4,80.5,3.5,2.5,0.8,0.5,1,2,0,10.55,218,Garrett Temple,SF,Brooklyn Nets,"$4,767,000 "
160,Shabazz Napier,MIN,WSH,,G,56,24,10.3,3.4,8.1,41.2,1.4,4.3,31.7,2.3,2.7,82.4,2.8,4.7,1.2,0.2,2.3,2,1,13.83,340,Shabazz Napier,G,Washington Wizards,"$1,845,301 "
161,Thaddeus Young,CHI,,,PF,64,24.9,10.3,4.2,9.4,44.8,1.2,3.5,35.6,0.7,1.1,58.3,4.9,1.8,1.4,0.4,1.6,2,0,13.36,96,Thaddeus Young,PF,Chicago Bulls,"$12,900,000 "
162,Doug McDermott,IND,,,SF,69,19.9,10.3,3.9,7.9,48.8,1.9,4.3,43.5,0.7,0.8,82.8,2.5,1.1,0.2,0.1,0.6,0,0,14.43,165,Doug McDermott,SF,Indiana Pacers,"$7,333,333 "
163,Langston Galloway,DET,,,SG,66,25.8,10.3,3.6,8.2,43.5,2,5,39.9,1.1,1.3,85.9,2.3,1.5,0.7,0.2,0.6,0,0,12.35,166,Langston Galloway,SG,Detroit Pistons,"$7,333,333 "
164,Malik Monk,CHA,,,SG,55,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82,2.9,2.1,0.5,0.3,1.4,1,0,12.7,233,Malik Monk,SG,Charlotte Hornets,"$4,028,400 "
165,Bobby Portis,NY,,,C,66,21.1,10.1,4,8.9,45,1,2.8,35.8,1.1,1.4,76.3,5.1,1.5,0.5,0.3,1.1,5,0,14.65,81,Bobby Portis,C,New York Knicks,"$15,000,000 "
166,Josh Hart,NO,,,SG,65,27,10.1,3.5,8.2,42.3,1.9,5.4,34.2,1.3,1.8,73.9,6.5,1.7,1,0.4,1.2,10,0,11.95,355,Josh Hart,SG,New Orleans Pelicans,"$1,655,160 "
167,Larry Nance Jr.,CLE,,,PF,56,26.3,10.1,4.1,7.7,53.1,1,2.8,35.2,0.9,1.3,67.6,7.3,2.2,1,0.4,1.1,12,0,17.37,100,Larry Nance Jr.,PF,Cleveland Cavaliers,"$12,727,273 "
168,Ben McLemore,HOU,,,SG,71,22.8,10.1,3.4,7.7,44.4,2.5,6.4,40,0.7,0.9,74.6,2.2,0.8,0.6,0.2,0.7,1,0,11.86,324,Ben McLemore,SG,Houston Rockets,"$2,028,594 "
